5,13,23,25,27,32,44
15,16,33,36,38,43,49
1,14,16,22,32,39,45
3,5,10,18,26,33,46
5,7,15,18,35,37,45
10,20,24,25,32,39,46
10,17,18,22,23,25,34
6,11,16,18,23,26,40
1,4,6,9,25,31,43
3,21,29,37,40,43,44
17,18,22,27,29,31,34
1,3,11,13,19,22,46
18,24,31,38,44,46,50
20,31,35,36,39,42,44
1,15,19,31,40,41,43
3,9,25,26,28,34,38
3,22,26,32,38,42,43
9,15,26,36,39,41,47
2,4,17,39,40,43,46
4,16,21,32,44,45,50
1,15,16,20,27,38,50
4,5,24,25,43,44,50
6,8,11,13,28,42,48
5,9,33,36,39,41,44
5,7,19,28,32,35,44
5,6,8,15,22,46,47
9,17,23,37,44,46,48
22,24,25,26,29,32,46
1,5,38,39,42,47,49
10,25,31,34,36,39,45
19,22,28,30,36,38,39
11,20,23,24,26,41,44
4,6,10,15,24,40,43
11,15,17,20,24,25,50
4,8,11,16,28,29,44
1,15,21,29,30,31,33
11,14,17,21,23,26,36
3,13,19,25,28,30,37
10,13,31,32,36,40,41
1,4,8,28,32,36,43
6,14,26,31,34,36,45
7,11,36,37,38,43,46
2,14,15,23,27,44,45
11,16,17,20,42,44,50
1,6,13,15,38,42,49
4,11,20,22,37,44,49
18,23,28,32,34,44,50
4,8,13,23,25,33,39
7,19,22,28,34,41,42
6,29,34,39,42,47,50
4,9,10,26,27,29,37
9,11,15,19,20,35,41
2,3,8,18,31,39,50
4,21,23,39,40,42,50
9,24,27,33,40,44,48
16,17,31,34,36,39,41
2,3,5,12,21,22,37
9,17,21,23,36,41,48
2,16,21,33,39,42,47
2,20,21,30,31,39,45
1,2,16,21,23,25,28
10,12,19,22,25,32,42
1,3,20,21,27,28,44
6,11,25,31,36,41,49
2,9,16,17,21,22,32
2,23,24,29,40,48,49
6,31,33,34,43,44,46
1,2,32,37,38,39,45
18,23,31,32,36,38,43
2,6,13,19,21,32,40
6,12,20,24,40,42,47
3,19,22,30,32,37,40
8,15,21,28,29,30,39
7,22,25,26,35,41,45
5,13,14,16,17,29,49
7,21,23,25,31,34,45
6,7,11,21,23,27,41
2,9,15,23,26,30,41
5,8,15,20,25,26,47
1,7,13,14,22,42,48
11,17,24,34,41,42,48
2,12,31,34,39,48,49
9,10,16,23,24,39,49
2,3,4,8,9,20,30
10,15,16,17,19,27,38
18,31,38,45,46,47,48
8,9,12,20,22,27,30
25,28,31,36,42,44,49
3,9,15,16,19,45,48
1,3,5,10,16,27,43
3,12,21,34,37,38,41
2,4,18,19,20,39,44
3,5,7,11,13,20,29
12,17,22,27,28,29,35
2,9,18,33,36,40,49
9,11,23,33,35,36,42
8,11,14,17,26,30,36
6,8,12,19,20,25,49
1,4,5,22,25,32,34
1,11,20,32,41,42,44
3,5,17,23,28,43,46
3,10,16,28,31,38,47
18,23,28,37,44,45,47
12,25,27,29,34,44,45
2,11,17,18,22,25,39
7,10,13,19,24,31,41
4,13,23,30,31,37,43
11,22,28,33,39,43,47
1,11,15,16,20,29,39
8,9,11,17,37,39,41
6,14,16,22,30,42,45
1,8,9,22,29,30,32
7,18,29,30,41,45,46
1,12,18,19,21,24,41
7,12,15,23,35,43,49
13,24,29,31,35,36,42
13,18,20,26,32,35,47
7,25,26,28,32,36,37
13,17,24,32,33,44,45
5,14,22,23,35,40,49
6,19,24,25,36,37,39
3,8,9,24,28,31,44
7,8,13,19,23,32,40
9,18,25,30,39,40,43
1,8,16,19,26,34,41
1,3,13,15,28,36,49
22,23,26,35,37,39,47
13,16,19,21,24,26,30
8,14,17,27,28,30,48
1,17,31,33,39,46,49
26,28,33,38,42,43,47
5,11,20,22,35,38,46
3,15,22,23,33,47,49
5,12,18,26,29,31,37
16,17,18,20,40,42,43
1,14,15,16,24,39,49
1,4,12,27,35,38,46
8,14,16,17,18,34,41
10,17,25,27,29,34,38
1,6,14,23,38,40,47
2,10,37,38,39,43,47
15,20,24,30,39,44,46
1,2,15,16,22,29,41
1,7,18,28,31,39,48
18,19,23,34,39,43,46
2,9,13,16,25,26,45
13,14,19,26,27,36,37
1,4,11,17,27,36,37
9,12,16,24,33,45,47
2,11,12,25,33,39,44
2,4,11,17,26,41,42
4,8,13,16,26,33,38
7,24,26,36,37,43,44
2,3,6,22,24,42,46
1,5,20,33,34,41,42
7,11,20,21,22,37,47
11,12,25,28,33,41,43
14,16,18,21,38,44,49
8,11,18,25,34,35,38
11,25,26,28,38,44,45
11,14,20,22,26,35,43
10,14,22,36,38,44,45
3,4,13,16,35,47,49
23,25,29,30,42,44,45
8,12,14,34,37,44,48
1,2,12,15,22,25,41
16,19,21,32,37,39,45
2,5,6,7,8,33,45
1,11,15,20,36,41,47
3,7,20,25,29,31,44
1,17,19,23,28,29,47
5,9,14,24,33,37,46
11,16,19,22,24,38,41
8,19,24,28,34,42,48
1,3,8,22,29,38,47
4,10,21,28,29,37,45
2,8,24,30,31,38,40
10,13,18,19,38,47,48
5,10,14,19,31,33,47
1,5,11,26,28,30,41
2,9,27,32,38,39,43
11,17,24,26,34,35,39
5,8,20,21,29,40,47
2,11,20,22,31,35,47
7,10,21,24,38,40,49
8,14,18,20,24,39,46
4,23,29,36,39,44,46
3,5,19,29,33,34,44
33,34,36,42,44,45,47
14,18,22,25,36,39,44
8,9,12,24,29,36,37
4,12,17,21,32,38,42
3,13,24,36,39,44,45
7,12,14,15,27,34,44
4,10,11,27,29,32,41
1,12,15,22,25,45,48
3,10,17,19,26,27,42
19,22,25,32,37,45,47
5,7,15,18,19,27,28
4,6,10,20,40,46,47
11,15,25,26,39,47,49
9,26,28,32,37,40,45
19,30,31,36,40,44,49
1,8,16,25,30,42,48
10,12,14,28,36,39,45
2,17,22,24,26,42,48
1,16,20,29,33,44,46
5,11,15,26,27,33,39
